signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 10:09,29076.1,29082.7,29073.7,29082.7,86.542,1.68E+12,2516289.303,1589,42.188,1226684.877,0
20230505_160000,2023-05-05 10:10,29082.6,29089.4,29073.5,29087,129.614,1.68E+12,3769484.745,1906,84.195,2448657.152,0
20230505_160000,2023-05-05 10:11,29087,29095.7,29086.9,29095.6,91.952,1.68E+12,2675019.304,1664,44.833,1304198.498,0
20230505_160000,2023-05-05 10:12,29095.7,29100,29090.1,29100,59.679,1.68E+12,1736372.422,1256,36.454,1060646.107,0
20230505_160000,2023-05-05 10:13,29100,29100,29074.1,29078.1,202.906,1.68E+12,5901056.103,1910,27.785,807984.4295,0
20230505_160000,2023-05-05 10:14,29078.1,29079.1,29073,29076.4,73.593,1.68E+12,2139727.304,1243,39.847,1158546.482,0
20230505_160000,2023-05-05 10:15,29076.4,29079.5,29067.1,29069,105.705,1.68E+12,3073052.925,1591,35.639,1036152.56,0
20230505_160000,2023-05-05 10:16,29069,29075.8,29062.2,29068.5,109.815,1.68E+12,3192021.643,1929,44.265,1286690.192,0
20230505_160000,2023-05-05 10:17,29068.5,29078,29064.7,29078,94.531,1.68E+12,2748076.122,1599,48.362,1405974.906,0
20230505_160000,2023-05-05 10:18,29077.9,29078,29066.5,29066.6,58.748,1.68E+12,1707896.39,1098,13.572,394536.0116,0
20230505_160000,2023-05-05 10:19,29066.5,29076,29066.5,29071.5,92.448,1.68E+12,2687475.55,1969,46.156,1341724.773,0
20230505_160000,2023-05-05 10:20,29071.6,29076.6,29070.7,29076.6,62.636,1.68E+12,1821015.938,1246,36.608,1064320.752,0
20230505_160000,2023-05-05 10:21,29076.6,29084.8,29070,29082.1,144.911,1.68E+12,4213940.492,2137,97.86,2845781.57,0
20230505_160000,2023-05-05 10:22,29082.1,29082.9,29076.4,29082.9,72.918,1.68E+12,2120515.487,1299,27.554,801297.2155,0
20230505_160000,2023-05-05 10:23,29082.9,29091.1,29079.2,29091.1,79.261,1.68E+12,2305214.435,1401,50.478,1468145.258,0
20230505_160000,2023-05-05 10:24,29091.1,29108.8,29091.1,29108.7,259.46,1.68E+12,7550011.559,2815,166.741,4852285.034,0
20230505_160000,2023-05-05 10:25,29108.6,29108.6,29098.5,29102.8,182.031,1.68E+12,5297629.688,2204,75.19,2188226.23,0
20230505_160000,2023-05-05 10:26,29102.7,29102.8,29094.4,29100.8,99.239,1.68E+12,2887770.757,1401,55.385,1611616.539,0
20230505_160000,2023-05-05 10:27,29100.9,29110,29100.8,29107.2,152.26,1.68E+12,4431630.46,2161,108.699,3163726.652,0
20230505_160000,2023-05-05 10:28,29107.2,29115,29105.7,29107.3,136.863,1.68E+12,3983969.646,2149,75.351,2193405.999,0
20230505_160000,2023-05-05 10:29,29107.3,29121.8,29100,29118.7,163.352,1.68E+12,4755338.726,2727,111.196,3237114.471,0
20230505_160000,2023-05-05 10:30,29118.7,29123.3,29105,29105.1,273.972,1.68E+12,7976731.887,3455,97.19,2829717.057,0
20230505_160000,2023-05-05 10:31,29105.1,29105.2,29105.1,29105.2,55.45,1.68E+12,1613880.749,988,29.536,859651.1872,0
20230505_160000,2023-05-05 10:32,29105.1,29105.2,29100.5,29100.6,53.754,1.68E+12,1564417.641,949,12.227,355848.3195,0
