et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z
2024-12-20 16:00:00,2024-12-22 00:00:00,1,97291.23052,96318.31821479999,-0.011212060000000034,fibstop,2024,0.03144675088480908,0.1165228508612566
2024-12-24 00:00:00,2024-12-27 00:00:00,1,93732.46944,95750.9,0.019875302663991606,fibstop,2024,0.027688456859094022,1.3616434174300265
2024-12-28 00:00:00,2024-12-29 16:00:00,1,94143.306,93201.87294,-0.011308249999999943,fibstop,2024,0.022723075199940643,0.2909777515117611
2024-12-30 00:00:00,2024-12-30 08:00:00,1,93483.44692,92548.6124508,-0.010799999999999952,fibstop,2024,0.018022927336349227,-1.171195408356149
2024-12-30 16:00:00,2025-01-06 00:00:00,1,92511.164,98340.2,0.06048841072990118,fibstop,2025,0.020932079822801763,2.935076945462705
2025-01-07 08:00:00,2025-01-11 08:00:00,-1,98078.03194,94210.2,0.03941915195095203,fibstop,2025,0.01957035645428735,0.1463267198582987
2025-01-12 16:00:00,2025-01-13 00:00:00,-1,94552.31726,95497.8404326,-0.01074734000000005,fibstop,2025,0.019142176416325225,0.910096405652593
2025-01-13 16:00:00,2025-01-20 16:00:00,1,94485.3,105001.3,0.10883633626161963,fibstop,2025,0.024451189856455897,0.5798010892230224
2025-01-23 16:00:00,2025-01-26 16:00:00,1,103605.70340000001,102569.64636600002,-0.011461959999999938,fibstop,2025,0.03269123922865877,-1.2892533617178747
2025-01-27 08:00:00,2025-01-27 16:00:00,1,100794.5429,99786.597471,-0.010800980000000007,fibstop,2025,0.02728368203240246,1.8934378003792252
2025-01-28 16:00:00,2025-01-29 00:00:00,-1,101459.43980000001,102474.03419800001,-0.010700000000000022,fibstop,2025,0.02672609992783454,-0.7280760660987566
2025-01-30 16:00:00,2025-01-31 08:00:00,-1,104934.738,105984.08538,-0.010687750000000083,fibstop,2025,0.0225654712728841,0.3888912910038243
2025-02-01 00:00:00,2025-02-01 16:00:00,1,101981.73460000001,100961.91725400001,-0.010913369999999964,fibstop,2025,0.02184796201555181,1.2645308160274065
2025-02-03 08:00:00,2025-02-04 16:00:00,1,98352.30082,97368.7778118,-0.01098395000000007,fibstop,2025,0.029783304644814924,-1.9674198238516547
2025-02-07 00:00:00,2025-02-08 08:00:00,1,96503.93050000002,96153.4,-0.004524222469165508,fibstop,2025,0.026339312606568573,-1.6407336703870623
2025-02-10 00:00:00,2025-02-11 16:00:00,1,97225.70838000001,96253.45129620002,-0.011054949999999958,fibstop,2025,0.021563080975497386,-1.3616462308295365
2025-02-15 00:00:00,2025-02-20 16:00:00,-1,97453.19365999999,98427.7255966,-0.009846830000000095,fibstop,2025,0.017593810397289102,-1.537351548629721
2025-02-21 00:00:00,2025-02-21 08:00:00,-1,98287.01069999998,99269.88080699998,-0.01077590999999995,fibstop,2025,0.013088274915180893,1.73648273654549
2025-02-21 16:00:00,2025-03-01 16:00:00,-1,96307.53106,84755.0,0.12015681683005186,fibstop,2025,0.017011195065278952,-2.5610019047294994
2025-03-03 00:00:00,2025-03-06 16:00:00,-1,92811.06151999999,90777.9,0.021393326910439173,fibstop,2025,0.0349485448300149,0.1707730315550478
2025-03-07 08:00:00,2025-03-07 16:00:00,1,88184.39918,87302.55518819999,-0.010804890000000095,fibstop,2025,0.04229045346891354,-1.1875228242641491
2025-03-10 00:00:00,2025-03-10 08:00:00,1,81899.90114000002,81080.90212860002,-0.010813439999999949,fibstop,2025,0.035566901326063174,0.0215762101611725
2025-03-11 08:00:00,2025-03-13 16:00:00,1,80713.82317999999,79906.6849482,-0.011048389999999967,fibstop,2025,0.039258844349978124,-1.0007369310554004
2025-03-14 00:00:00,2025-03-17 08:00:00,1,81989.74216000001,83525.3,0.017804687994842923,fibstop,2025,0.03280100654526512,1.8103374500240488
2025-03-18 16:00:00,2025-03-22 00:00:00,1,82614.88016666667,84050.3,0.016271854054561656,fibstop,2025,0.02317564067935586,0.9748464516993964
2025-03-24 16:00:00,2025-04-01 00:00:00,-1,87628.92199999998,82517.5,0.05795810788624763,fibstop,2025,0.01616593191630953,1.3382697016394702
2025-04-02 00:00:00,2025-04-02 08:00:00,-1,84518.3809,85363.564709,-0.010790759999999943,fibstop,2025,0.01790404969108342,1.461867988443833
2025-04-03 16:00:00,2025-04-04 08:00:00,1,82966.06267999999,82136.40205319998,-0.01089019000000003,fibstop,2025,0.025256205312969026,0.5811650735218399
2025-04-04 16:00:00,2025-04-10 08:00:00,-1,83964.6116,81561.5,0.028530128984856306,fibstop,2025,0.025174331327960493,1.2480523852610137
2025-04-12 00:00:00,2025-04-12 08:00:00,-1,83971.21209999999,84810.924221,-0.010800000000000051,fibstop,2025,0.030709115493788748,0.7731741243769427
2025-04-13 08:00:00,2025-04-14 00:00:00,-1,84158.8321,85000.420421,-0.010622450000000009,fibstop,2025,0.027035130202390328,0.0589568407590183
2025-04-15 16:00:00,2025-04-16 08:00:00,-1,83710.17409999999,84547.275841,-0.01068772000000008,fibstop,2025,0.02376941348720202,0.7064833411708431
2025-04-19 16:00:00,2025-04-21 00:00:00,-1,85121.46134,85972.6759534,-0.010784020000000082,fibstop,2025,0.01434078707694438,1.4317217819127888
2025-04-21 16:00:00,2025-04-22 00:00:00,-1,87598.83507999999,88474.8234308,-0.010784470000000053,fibstop,2025,0.015767615343765744,1.6964871607990333
2025-04-23 16:00:00,2025-04-25 08:00:00,-1,93955.62642,94895.1826842,-0.010813900000000045,fibstop,2025,0.019781168064368453,-1.926321708192463
2025-04-25 16:00:00,2025-04-29 00:00:00,-1,94713.82764000002,94969.0,-0.003678540511033647,fibstop,2025,0.01856517372354557,3.48658272977495
2025-04-30 16:00:00,2025-05-05 16:00:00,1,94044.81742000002,93726.0,-0.0039048983652174418,fibstop,2025,0.015963475044269173,-0.8683479229168192
2025-05-07 08:00:00,2025-05-08 00:00:00,-1,97017.5662,97987.741862,-0.010763619999999937,fibstop,2025,0.01371664072059723,-1.0183926163589108
2025-05-09 08:00:00,2025-05-10 16:00:00,-1,103177.6524,104209.428924,-0.010459650000000046,fibstop,2025,0.017430790420804032,-0.5621970314621964
2025-05-11 00:00:00,2025-05-11 08:00:00,-1,103671.08914,104707.8000314,-0.010799999999999983,fibstop,2025,0.016091114486997463,0.5942970458098792
2025-05-12 08:00:00,2025-05-13 08:00:00,-1,102850.26134000001,103878.76395340002,-0.010708520000000093,fibstop,2025,0.016987440461166566,1.7066724905427433
2025-05-14 00:00:00,2025-05-16 16:00:00,-1,103787.77328000001,104144.0,-0.0037602809373163846,fibstop,2025,0.0156175718763944,0.086667371494687
2025-05-17 00:00:00,2025-05-18 08:00:00,-1,103495.04995999999,104530.00045959999,-0.01063418000000005,fibstop,2025,0.014270241635931276,-0.4826452910920958
2025-05-19 08:00:00,2025-05-24 08:00:00,1,104591.1803,107550.7,0.026403633258865335,fibstop,2025,0.019296550218818365,-1.1260824560062137
2025-05-26 16:00:00,2025-05-27 08:00:00,-1,109501.5482,110596.563682,-0.010625680000000018,fibstop,2025,0.01727158470774688,1.4216719643356184
