et,xt,side,entry,exit,ret,reason,year,vr,mfe,giveback
2024-02-10 00:00:00+00:00,2024-02-10 19:22:00+00:00,-1,47116.1,47538.945999999996,-0.009774554345542134,trail/sl,2024,1.3310651150294663,0.005936399659564291,0.014910954005106426
2024-02-11 00:00:00+00:00,2024-02-11 03:35:00+00:00,-1,47732.6,48252.490999999995,-0.011691738560229193,trail/sl,2024,1.2465172433883513,0.0040475482165228185,0.014939286776752011
2024-02-11 08:00:00+00:00,2024-02-12 00:26:00+00:00,-1,48169.5,48630.7815,-0.010376215239933928,trail/sl,2024,1.1224790476569528,0.00534363030548379,0.014919845545417719
2024-02-12 16:00:00+00:00,2024-02-13 23:53:00+00:00,-1,49925.5,49750.03,0.0027146368088452025,trail/sl,2024,0.8331016925801972,0.03253848233868464,0.029023845529839443
2024-02-14 00:00:00+00:00,2024-02-17 13:33:00+00:00,1,49696.4,51273.229999999996,0.030929260067127488,trail/sl,2024,0.8150837478802605,0.0636384124403377,0.031909152373210216
2024-02-17 16:00:00+00:00,2024-02-20 15:29:00+00:00,1,51013.4,51498.173,0.008702856112315608,trail/sl,2024,0.7699227833542248,0.04072459393022226,0.031221737817906648
2024-02-21 08:00:00+00:00,2024-02-21 12:07:00+00:00,1,51599.9,50567.902,-0.02079999999999999,trail/sl,2024,0.766363369320192,0.00456783830976411,0.024567838309764098
2024-02-22 00:00:00+00:00,2024-02-23 14:46:00+00:00,1,51877.9,50840.342,-0.020800000000000086,trail/sl,2024,0.9023813675883502,0.0048749081979031815,0.024874908197903268
2024-02-24 16:00:00+00:00,2024-02-27 03:52:00+00:00,1,51124.7,56046.6,0.09547244756448453,trail/sl,2024,0.633484633380032,0.13017778099431396,0.03390533342982943
2024-02-27 08:00:00+00:00,2024-02-27 12:33:00+00:00,-1,56100.1,57222.102,-0.020800000000000006,trail/sl,2024,0.7668483791217837,0.0004367193641366058,0.020436719364136612
2024-02-27 16:00:00+00:00,2024-02-27 16:26:00+00:00,-1,56775.1,57074.465,-0.006072822064602228,trail/sl,2024,1.213122657474932,0.009583426537337646,0.014856248601939874
2024-02-28 00:00:00+00:00,2024-02-28 07:35:00+00:00,-1,57074.5,57581.051499999994,-0.009675268289691442,trail/sl,2024,1.3665583858782453,0.00603421843380146,0.0149094867234929
2024-02-28 08:00:00+00:00,2024-02-28 08:46:00+00:00,-1,58299.9,59100.303499999995,-0.014529071576451984,trail/sl,2024,1.4003298079950397,0.0012521462300964495,0.014981217806548434
2024-02-28 16:00:00+00:00,2024-02-28 16:36:00+00:00,-1,61000.0,61885.66649999999,-0.015319122950819542,trail/sl,2024,1.413287285700765,0.00047377049180330255,0.014992893442622845
2024-02-29 00:00:00+00:00,2024-02-29 04:38:00+00:00,-1,62487.9,62021.77799999999,0.006659396139092693,trail/sl,2024,1.5993984535077121,0.022127483880879407,0.014668087741786715
2024-02-29 08:00:00+00:00,2024-02-29 11:24:00+00:00,-1,62761.6,63083.36649999999,-0.005926805243970687,trail/sl,2024,1.8000844174936812,0.00972728547392036,0.014854090717891046
2024-02-29 16:00:00+00:00,2024-02-29 17:03:00+00:00,-1,62809.1,62473.24999999999,0.004547155109689612,trail/sl,2024,2.1585881336432666,0.02004645823614729,0.014699303126457676
2024-03-01 00:00:00+00:00,2024-03-01 02:18:00+00:00,1,61203.3,60914.566999999995,-0.005517605096457339,trail/sl,2024,1.8609079826532982,0.010438979597505268,0.015156584693962607
2024-03-01 08:00:00+00:00,2024-03-01 14:37:00+00:00,1,61485.9,61808.75,0.004450797337275676,trail/sl,2024,1.884880167518516,0.020559185113985457,0.01530838777670978
2024-03-01 16:00:00+00:00,2024-03-02 00:15:00+00:00,1,61335.4,62251.015,0.014128002426005176,trail/sl,2024,1.8777302148868584,0.030383758808127093,0.015455756382121917
2024-03-03 00:00:00+00:00,2024-03-04 00:47:00+00:00,1,62039.9,63462.8605,0.022136215242126455,trail/sl,2024,1.9008940129025726,0.038513924103681686,0.015577708861555233
2024-03-04 08:00:00+00:00,2024-03-04 08:25:00+00:00,-1,64120.6,65039.37299999999,-0.015128827241167328,trail/sl,2024,1.865605316150715,0.0006612539495887664,0.014990081190756094
2024-03-04 16:00:00+00:00,2024-03-04 17:20:00+00:00,-1,66505.4,67091.5,-0.00961281820724341,trail/sl,2024,1.73967730970809,0.006095745608627182,0.014908563815870593
2024-03-05 00:00:00+00:00,2024-03-05 05:04:00+00:00,-1,68296.5,65996.41649999999,0.03287791175243252,trail/sl,2024,1.8168761056030032,0.047958533746238846,0.014280621993806322
2024-03-05 08:00:00+00:00,2024-03-05 08:15:00+00:00,-1,66223.8,66584.0,-0.00623913215490499,trail/sl,2024,1.6070619091501317,0.0094195742316207,0.01485870638652569
2024-03-06 00:00:00+00:00,2024-03-06 01:42:00+00:00,1,63747.5,63223.21,-0.009024479391348695,trail/sl,2024,1.3804643601363995,0.006878701125534335,0.01510318051688303
2024-03-07 00:00:00+00:00,2024-03-07 08:01:00+00:00,-1,66128.0,66593.4395,-0.007838463283329197,trail/sl,2024,1.247747501420292,0.007843878538591777,0.014882341821920974
2024-03-07 16:00:00+00:00,2024-03-07 17:25:00+00:00,-1,67317.2,68074.5275,-0.012050133695400277,trail/sl,2024,1.2413268800357096,0.003694449561181943,0.01494458325658222
2024-03-08 08:00:00+00:00,2024-03-08 14:11:00+00:00,-1,67308.5,68099.39499999999,-0.012550298996411888,trail/sl,2024,1.2169620064973077,0.0032016758656038986,0.014951974862015787
2024-03-08 16:00:00+00:00,2024-03-08 16:22:00+00:00,-1,67685.8,67111.79999999999,0.007680360725588151,trail/sl,2024,1.2170660322409985,0.023133360320776335,0.014652999595188183
2024-03-09 00:00:00+00:00,2024-03-10 01:11:00+00:00,-1,68180.2,68927.3305,-0.011758174073998014,trail/sl,2024,1.1499050488467069,0.003982094508376333,0.014940268582374346
2024-03-10 08:00:00+00:00,2024-03-10 16:17:00+00:00,-1,69429.9,69702.99349999998,-0.0047333702050555765,trail/sl,2024,1.1164188013363425,0.010903083541816998,0.014836453746872574
2024-03-11 00:00:00+00:00,2024-03-11 00:55:00+00:00,-1,69001.8,68005.0,0.01364599995942139,trail/sl,2024,1.1102663900065837,0.02901083739844472,0.014564837439023329
2024-03-11 08:00:00+00:00,2024-03-11 11:45:00+00:00,-1,71223.9,72279.67249999999,-0.015623289654174961,trail/sl,2024,1.0653834122302561,0.0001740988628816195,0.01499738851705658
2024-03-11 16:00:00+00:00,2024-03-12 07:10:00+00:00,-1,72061.3,72369.5,-0.005076914238294301,trail/sl,2024,1.0645469012822981,0.010564616513995763,0.014841530752290064
2024-03-12 08:00:00+00:00,2024-03-12 14:03:00+00:00,-1,72175.6,72510.0775,-0.005434218489350883,trail/sl,2024,1.0624889699815347,0.010212592621329172,0.014846811110680053
2024-03-13 00:00:00+00:00,2024-03-13 12:35:00+00:00,1,71503.3,72648.675,0.015218491454240571,trail/sl,2024,1.1223661401314187,0.0314908542682645,0.015472362814023928
2024-03-13 16:00:00+00:00,2024-03-14 04:10:00+00:00,-1,72670.2,73496.759,-0.012174112084458394,trail/sl,2024,0.9473592262029511,0.0035723033650656155,0.01494641544952401
2024-03-14 08:00:00+00:00,2024-03-14 20:28:00+00:00,-1,73280.7,70658.0,0.034989778208996326,trail/sl,2024,0.9164563721321042,0.06387357107669546,0.02808379286769913
2024-03-15 08:00:00+00:00,2024-03-15 08:52:00+00:00,1,68487.4,67117.65199999999,-0.0208000000000001,trail/sl,2024,0.7082321269220784,0.0026004783361611894,0.02260047833616129
2024-03-15 16:00:00+00:00,2024-03-15 19:50:00+00:00,1,68199.2,68594.423,0.00499512662905134,trail/sl,2024,0.7489345268808373,0.03690219240108384,0.0311070657720325
2024-03-16 00:00:00+00:00,2024-03-16 11:22:00+00:00,1,69552.1,68161.058,-0.020800000000000016,trail/sl,2024,0.8029929908661223,0.007843041403494646,0.027843041403494664
2024-03-17 00:00:00+00:00,2024-03-17 07:22:00+00:00,1,65351.0,64631.778999999995,-0.011805508714480346,trail/sl,2024,0.7131094344709402,0.019581949778886276,0.030587458493366623
2024-03-17 08:00:00+00:00,2024-03-18 01:03:00+00:00,1,65681.1,66903.22799999999,0.017806996533249023,trail/sl,2024,0.7413263580130481,0.050110305704380534,0.03150330917113151
2024-03-18 08:00:00+00:00,2024-03-19 16:02:00+00:00,-1,68262.9,64284.463,0.05748110144749184,trail/sl,2024,0.7730985994377426,0.08570980723057468,0.02742870578308284
