et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2023-09-03 16:00:00,2023-09-04 00:00:00,2023-09-03 16:00:00,2023-09-04 03:10:00,-1,26021.208199999997,26022.347646845035,-0.0006168891598376298,-0.0043807266412788405,-2.689999999999984e-05,fibstop,26022.347646845035,2023,False,,0.0002578453962270249,0.0
2023-09-06 20:00:00,2023-09-07 04:00:00,2023-09-06 20:00:00,2023-09-07 07:00:00,1,25726.055600000003,25749.360738652776,0.0002675963027652449,-0.0032828818110773564,3.830000000000153e-05,fibstop,25749.360738652776,2023,False,,0.0004334951105141365,0.0
2023-09-07 16:00:00,2023-09-08 04:00:00,2023-09-07 16:00:00,2023-09-08 05:56:00,1,25853.878819999998,26231.9854123403,0.01404000301956646,-0.003631130966985715,-1.5250000000001374e-05,fibstop,26231.9854123403,2023,False,,0.000526056841983819,0.0
2023-09-08 12:00:00,2023-09-09 04:00:00,2023-09-08 12:00:00,2023-09-09 05:51:00,1,25805.6626,25843.042449717912,0.0009159934637818696,-0.003823292644305117,-6.747999999999824e-05,fibstop,25843.042449717912,2023,False,,0.00034211325703761765,0.0
2023-09-09 16:00:00,2023-09-10 04:00:00,2023-09-09 16:00:00,2023-09-10 04:07:00,1,25838.3167,25836.729176626537,-0.0006607106655005624,-0.0008404843183921829,-7.300000000008688e-07,fibstop,25836.729176626537,2023,False,,0.00030639287710889333,0.0
2023-09-10 08:00:00,2023-09-10 16:00:00,2023-09-10 08:00:00,2023-09-10 16:27:00,1,25776.643679999997,25755.337401969933,-0.0014526630129402273,-0.0028957874006658654,2.6089999999999447e-05,fibstop,25755.337401969933,2023,False,,9.940413252121667e-05,0.0
2023-09-12 00:00:00,2023-09-12 08:00:00,2023-09-12 00:00:00,2023-09-12 08:05:00,1,25754.41058,25789.694520973888,0.0007157654722736474,-0.024772866690859378,5.4249999999998744e-05,fibstop,25789.694520973888,2023,False,,0.0003625607925199512,0.0
2023-09-12 20:00:00,2023-09-13 08:00:00,2023-09-12 20:00:00,2023-09-13 08:10:00,-1,25875.5448,25917.47889078801,-0.0021845870678755515,-0.01060674092550895,-3.602000000000119e-05,fibstop,25917.47889078801,2023,False,,0.0006321048352595929,0.0
2023-09-13 20:00:00,2023-09-14 00:00:00,2023-09-13 20:00:00,2023-09-14 00:54:00,-1,26254.352800000004,26461.70415470465,-0.008493179607849177,-0.0015101191144196015,-4.609999999998643e-06,fibstop,26461.70415470465,2023,False,,0.00040316155818074275,0.0
2023-09-14 04:00:00,2023-09-14 12:00:00,2023-09-14 04:00:00,2023-09-14 12:16:00,-1,26380.77178,26585.595320471533,-0.008329842375935061,-0.0038940566582620607,-3.4280000000001115e-05,fibstop,26585.595320471533,2023,False,,0.00022323104148064458,0.0
