et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2025-12-09 20:00:00,2025-12-10 16:00:00,2025-12-09 20:00:00,2025-12-10 16:05:00,-1,92790.87134,92063.94306456395,0.006369519800449916,-0.011081140258209455,-4.773000000002359e-05,fibstop,92063.94306456395,2025,True,,0.0005778241349589386,0.0
2025-12-11 04:00:00,2025-12-12 00:00:00,2025-12-11 04:00:00,2025-12-12 00:48:00,1,90080.79262000001,92191.33583766845,0.009144713743416907,-0.009777807170453907,4.523000000000721e-05,fibstop,92191.33583766845,2025,True,,0.0007273384746835417,0.0
2025-12-12 20:00:00,2025-12-13 12:00:00,2025-12-12 20:00:00,2025-12-13 12:29:00,1,90108.52198,90280.99,0.0020299415257233663,-0.002946691102745407,6.141000000001173e-05,fibstop,90280.99,2025,True,,0.0007099330220498981,0.0
2025-12-15 00:00:00,2025-12-15 12:00:00,2025-12-15 00:00:00,2025-12-15 14:52:00,1,89062.23579999998,88436.2077791635,-0.00762017740128182,-0.01164282246774651,-8.929999999990335e-06,fibstop,88436.2077791635,2025,False,,0.0010364200497680674,0.0
2025-12-15 20:00:00,2025-12-16 00:00:00,2025-12-15 20:00:00,2025-12-16 03:33:00,1,86140.75558,85398.2820265243,-0.0006376275578229775,-0.007558043525580139,0.0,fibstop,85398.2820265243,2025,True,,0.0008934536186009578,0.0
2025-12-16 16:00:00,2025-12-17 00:00:00,2025-12-16 16:00:00,2025-12-17 01:18:00,-1,87628.98445999999,87832.52410781938,-0.002881853428714478,-0.004376583186069798,-4.088999999998788e-05,fibstop,87832.52410781938,2025,False,,0.001184176294472524,0.0
2025-12-17 20:00:00,2025-12-18 04:00:00,2025-12-17 20:00:00,2025-12-18 05:16:00,1,86051.60414000001,86526.05207573654,0.004180275823213454,-0.004899433824779019,6.229999999998737e-05,fibstop,86526.05207573654,2025,True,,0.0008312804334011565,0.0
2025-12-18 16:00:00,2025-12-18 20:00:00,2025-12-18 16:00:00,2025-12-18 21:33:00,-1,84570.08604000001,85551.62057667923,-0.012122616939631247,-0.04646931490812505,-8.35499999999878e-05,fibstop,85551.62057667923,2025,False,,0.0012634652641990028,0.0
2025-12-19 16:00:00,2025-12-20 00:00:00,2025-12-19 16:00:00,2025-12-20 02:44:00,-1,87958.8004,88269.11575665443,-0.004127962582973508,-0.010564032203422448,-0.0,fibstop,88269.11575665443,2025,False,,0.001487407871883225,0.0
2025-12-21 12:00:00,2025-12-21 20:00:00,2025-12-21 12:00:00,2025-12-21 23:02:00,-1,88161.15715999999,88731.8250087954,-0.007033237696118647,-0.008220659339630728,-3.976999999999453e-05,fibstop,88731.8250087954,2025,False,,0.00027862013459983365,0.0
